Наименование,"Тип, марка, чертеж",Вес,Цена начальная,Цена без ндс,Цена с ндс,Наша наценка
Решётка прямая (люка),750Х400Д9 СЧ20/СХР,"34,60  кг","3 673,00 ₽","4 407,60 ₽","5 289,12 ₽",
Решётка прямая (люка),750Х500Д10 ВЧ50/СХР,"44,00  кг","5 792,00 ₽","6 950,40 ₽","8 340,48 ₽",
Решётка прямая (люка),750Х500Д10 СЧ20/СХР,"44,00  кг","4 670,00 ₽","5 604,00 ₽","6 724,80 ₽",
Стальная крышка люка,0009-6757/010000/СХР,"9,50  кг","1 354,00 ₽","1 624,80 ₽","1 949,76 ₽",
Воронка (люка),3.503.1-81.3-1-20М/СХР,"14,50  кг","1 590,00 ₽","1 908,00 ₽","2 289,60 ₽",
Решётка (люка),3.503.1-81.3-1-21/СХР,"13,50  кг","1 480,00 ₽","1 776,00 ₽","2 131,20 ₽",
Труба Ф80 (люка),0200-0616/000000-02/СХР,"15,30  кг","1 625,00 ₽","1 950,00 ₽","2 340,00 ₽",
Труба Ф100 (люка),0200-0616/000000-01/СХР,"18,50  кг","1 965,00 ₽","2 358,00 ₽","2 829,60 ₽",
Труба Ф150 (люка),0200-0616/000000/СХР,"26,50  кг","2 812,00 ₽","3 374,40 ₽","4 049,28 ₽",
Арка камина,9069-7689,"78,40  кг","9 894,00 ₽","11 872,80 ₽","14 247,36 ₽",
Вьюшка Ф230,09С233,"5,75  кг","740,00 ₽","888,00 ₽","1 065,60 ₽",
Дверка надплиточная,9069-7828/000000,"23,57  кг","3 595,00 ₽","4 314,00 ₽","5 176,80 ₽",
Дверка с солнышком,16С263,"2,80  кг","622,00 ₽","746,40 ₽","895,68 ₽",
Грунтовка,16С263,"2,80  кг","80,00 ₽","96,00 ₽","115,20 ₽",
Дверка спаренная,1С168,"14,56  кг","2 302,00 ₽","2 762,40 ₽","3 314,88 ₽",
Грунтовка,1С168,"14,56  кг","294,00 ₽","352,80 ₽","423,36 ₽",
"Дверка топочная ""Полесье""",14С248,"3,27  кг","518,00 ₽","621,60 ₽","745,92 ₽",
Грунтовка,14С248,"3,27  кг","73,00 ₽","87,60 ₽","105,12 ₽",
Дверка топочная ДТ-2а,0С150,"2,30  кг","486,00 ₽","583,20 ₽","699,84 ₽",
Грунтовка,0С150,"2,30  кг","60,00 ₽","72,00 ₽","86,40 ₽",
Дверка топочная ДТ-5,7С46,"5,03  кг","839,00 ₽","1 006,80 ₽","1 208,16 ₽",
Грунтовка,7С46,"5,03  кг","114,00 ₽","136,80 ₽","164,16 ₽",
Дверка топочная ДТ-7а,7С47,"7,73  кг","1 107,00 ₽","1 328,40 ₽","1 594,08 ₽",
Грунтовка,7С47,"7,73  кг","144,00 ₽","172,80 ₽","207,36 ₽",
"Дверка топочная с ""Медведем""",5С233,"14,88  кг","1 956,00 ₽","2 347,20 ₽","2 816,64 ₽",
Грунтовка,5С233,"14,88  кг","262,00 ₽","314,40 ₽","377,28 ₽",
Духовка д-3/Чугунная,2С177/Г,"65,10  кг","8 541,00 ₽","10 249,20 ₽","12 299,04 ₽",
Грунтовка,2С177/Г,"65,10  кг","375,00 ₽","450,00 ₽","540,00 ₽",
Духовка/Чугунная,3С201/Г,"39,96  кг","5 438,00 ₽","6 525,60 ₽","7 830,72 ₽",
Грунтовка,3С201/Г,"39,96  кг","176,00 ₽","211,20 ₽","253,44 ₽",
Задвижка 3В-2,0С151,"3,45  кг","650,00 ₽","780,00 ₽","936,00 ₽",
Задвижка,9069-6077/000000,"2,41  кг","405,00 ₽","486,00 ₽","583,20 ₽",
"Каминная решетка ""Дракон""",1С172,"28,28  кг","2 811,00 ₽","3 373,20 ₽","4 047,84 ₽",
"Колосник КУ4, L300ММ",4С214,"1,14  кг","134,00 ₽","160,80 ₽","192,96 ₽",
"Колосник КУ5, L350ММ",4С215,"1,31  кг","153,00 ₽","183,60 ₽","220,32 ₽",
Колосник,28.00.00.00.16,"16,50  кг","1 932,00 ₽","2 318,40 ₽","2 782,08 ₽",
Колосник,"420,00  кг","1,32  кг","170,00 ₽","204,00 ₽","244,80 ₽",
Конфорка (Ф417),9069-7272/000002,"5,10  кг","597,00 ₽","716,40 ₽","859,68 ₽",
Конфорка барбекю,9069-7443/000000-01,"5,10  кг","656,00 ₽","787,20 ₽","944,64 ₽",
Конфорка глухая для плит Ф90,9069-7505/000000 СЧ20,"0,35  кг","45,00 ₽","54,00 ₽","64,80 ₽",
Конфорка двусторонняя для плиты,9069-7466/000000,"12,00  кг","1 544,00 ₽","1 852,80 ₽","2 223,36 ₽",
Конфорка для плит Ф-170,9069-7504/000003 СЧ20,"0,95  кг","122,00 ₽","146,40 ₽","175,68 ₽",
Конфорка для плит Ф-250,9069-7504/000002 СЧ20,"2,20  кг","283,00 ₽","339,60 ₽","407,52 ₽",
Конфорка для плит Ф-280,9069-7504/000001 СЧ20,"2,50  кг","322,00 ₽","386,40 ₽","463,68 ₽",
Конфорка для плит Ф-330,9069-7504/000000 СЧ20,"2,40  кг","309,00 ₽","370,80 ₽","444,96 ₽",
Конфорка зубчатая Ф-250,9069-7479/000000 СЧ20,"2,80  кг","361,00 ₽","433,20 ₽","519,84 ₽",
Конфорка зубчатая Ф-280,9069-7478/000000 СЧ20,"3,20  кг","412,00 ₽","494,40 ₽","593,28 ₽",
Конфорка зубчатая Ф-330,9069-7477/000000 СЧ20,"5,00  кг","643,00 ₽","771,60 ₽","925,92 ₽",
Конфорка Ф120 ММ,9069-5830/000002,"0,40  кг","52,00 ₽","62,40 ₽","74,88 ₽",
Конфорка Ф200 ММ,9069-5830/000001,"1,50  кг","193,00 ₽","231,60 ₽","277,92 ₽",
Конфорка Ф280 ММ,9069-5830/000001,"2,00  кг","257,00 ₽","308,40 ₽","370,08 ₽",
Мангал разборный,9069-6762/000000СБ,"57,40  кг","12 605,00 ₽","15 126,00 ₽","18 151,20 ₽",
Грунтовка,9069-6762/000000СБ,"57,40  кг","874,00 ₽","1 048,80 ₽","1 258,56 ₽",
Мангал с крышкой,9069-7168/000000СБ,"80,60  кг","13 704,00 ₽","16 444,80 ₽","19 733,76 ₽",
Грунтовка,9069-7168/000000СБ,"80,60  кг","872,00 ₽","1 046,40 ₽","1 255,68 ₽",
"Панель каминная ""Прибалтика"" вариант 2",14С251,"25,70  кг","4 761,00 ₽","5 713,20 ₽","6 855,84 ₽",
Грунтовка,14С251,"25,70  кг","634,00 ₽","760,80 ₽","912,96 ₽",
"Панель каминная ""Прибалтика"" вариант 1",2С188,"32,90  кг","6 009,00 ₽","7 210,80 ₽","8 652,96 ₽",
Грунтовка,2С188,"32,90  кг","619,00 ₽","742,80 ₽","891,36 ₽",
Печь дачная,9069-5925,"71,30  кг","9 831,00 ₽","11 797,20 ₽","14 156,64 ₽",
Печь садовая,9069-6582/000000,"99,34  кг","12 643,00 ₽","15 171,60 ₽","18 205,92 ₽",
Печь финской бани,9069-5829,"177,70  кг","26 760,00 ₽","32 112,00 ₽","38 534,40 ₽",
Грунтовка,9069-5830,"177,70  кг","1 229,00 ₽","1 474,80 ₽","1 769,76 ₽",
Плита глухая ПО-10,9069-7385/000000,"22,50  кг","2 634,00 ₽","3 160,80 ₽","3 792,96 ₽",
Плита глухая ПО-9,9069-7384,"11,50  кг","1 480,00 ₽","1 776,00 ₽","2 131,20 ₽",
Плита двухкон. П-2-5,14С246,"23,80  кг","2 854,00 ₽","3 424,80 ₽","4 109,76 ₽",
Плита двухкон. 710Х410,9069-7593/000000-02,"20,60  кг","2 651,00 ₽","3 181,20 ₽","3 817,44 ₽",
Плита двухкон. 710Х410,9069-7593/000000,"21,90  кг","2 818,00 ₽","3 381,60 ₽","4 057,92 ₽",
Плита двухкон. 762Х456,9069-7593/000000-01,"27,40  кг","3 317,00 ₽","3 980,40 ₽","4 776,48 ₽",
Плита двухкон. 762Х456,9069-7593/000000-03,"25,80  кг","3 111,00 ₽","3 733,20 ₽","4 479,84 ₽",
Плита однокон. П1-2 в сборе,9069-7390/000000,"11,10  кг","1 429,00 ₽","1 714,80 ₽","2 057,76 ₽",
Плита П2-0-4,9С149,"8,00  кг","640,00 ₽","768,00 ₽","921,60 ₽",
Плита печная,BCL.98-01 710Х410 СЧ20,"19,50  кг","2 510,00 ₽","3 012,00 ₽","3 614,40 ₽",
Плита печная,BCL.98-01 762Х456 СЧ21,"27,00  кг","3 161,00 ₽","3 793,20 ₽","4 551,84 ₽",
Плита под казан,9069-7272/000000,"32,90  кг","3 898,00 ₽","4 677,60 ₽","5 613,12 ₽",
Плита полуглухая П1-3а в сборе,9069-7391/000000,"24,90  кг","3 205,00 ₽","3 846,00 ₽","4 615,20 ₽",
Полудверка топочная ПДТ-9,7С48,"4,08  кг","709,00 ₽","850,80 ₽","1 020,96 ₽",
Грунтовка,7С48,"4,08  кг","91,00 ₽","109,20 ₽","131,04 ₽",
Пушка декоративная сувенирная малая,9069-6853/000000,"9,12  кг","11 308,00 ₽","13 569,60 ₽","16 283,52 ₽",
Рамка для колосник (Большая),4С208,"4,10  кг","331,00 ₽","397,20 ₽","476,64 ₽",
Рамка для колосник (Маленькая),4С207,"3,85  кг","322,00 ₽","386,40 ₽","463,68 ₽",
"Решетка ""Дракон""",9069-6181/000001,"6,00  кг","438,00 ₽","525,60 ₽","630,72 ₽",
Решетка камина,7С49,"25,00  кг","3 786,00 ₽","4 543,20 ₽","5 451,84 ₽",
Грунтовка,7С49,"25,00  кг","631,00 ₽","757,20 ₽","908,64 ₽",
Решетка каминная,9069-7350/000000,"26,70  кг","4 778,00 ₽","5 733,60 ₽","6 880,32 ₽",
Грунтовка,9069-7350/000000,"26,70  кг","675,00 ₽","810,00 ₽","972,00 ₽",
Решетка колосник печки дачной,9069-5925/000007,"8,00  кг","1 030,00 ₽","1 236,00 ₽","1 483,20 ₽",
Решетка колосник (усиленная),4С210,"11,70  кг","1 370,00 ₽","1 644,00 ₽","1 972,80 ₽",
Решетка колосниковая РКК-4,4С209,"5,80  кг","679,00 ₽","814,80 ₽","977,76 ₽",
Решетка колосниковая РКК-5,4С206,"6,20  кг","726,00 ₽","871,20 ₽","1 045,44 ₽",
Решетка колосниковая РУ-7,7С26,"5,10  кг","656,00 ₽","787,20 ₽","944,64 ₽",
Решетка колосниковая,9069-6976/000000,"13,60  кг","1 750,00 ₽","2 100,00 ₽","2 520,00 ₽",
Тиски слесарные поворотные,9069-7216/000000-01,"32,28  кг","12 086,00 ₽","14 503,20 ₽","17 403,84 ₽",
Тиски слесарные поворотные,9069-7216/000000,"33,05  кг","12 463,00 ₽","14 955,60 ₽","17 946,72 ₽",
"Балясина ""Новая""",9069-6285/000000,"9,30  кг","1 089,00 ₽","1 306,80 ₽","1 568,16 ₽",
Балясина для остановок,9069-6045/000001,"16,10  кг","1 885,00 ₽","2 262,00 ₽","2 714,40 ₽",
